gene	conMean	treatMean	logFC	pValue	fdr
AL671277.1	0.709441388452381	5.92198188255164	3.06132467286393	3.15761276988951e-37	7.21513460447292e-37
IL32	80.0515263597284	24.7494858612569	-1.69353035581223	7.20457538110418e-51	4.25354639388005e-50
AL731569.1	0.416535730848891	0.33700007983504	-0.30569132353281	1.33350585309952e-09	1.66965569532017e-09
NUCB2	42.6402334806561	6.26154531789197	-2.76762468163923	3.32752673278838e-49	1.52999928947459e-48
AC087741.2	0.753671991792721	1.60568542786803	1.09118059521161	3.00408012651141e-15	4.18189037741853e-15
B3GAT2	0.646428447175081	0.118127163849159	-2.45214993090557	4.98867808851849e-55	1.99062054669267e-53
SPATA2	2.55212563551737	3.91045748317589	0.615638046293148	1.78777425878449e-43	5.25548632817173e-43
SERTAD2	2.08961646024197	4.66822191358507	1.15963497778787	5.25568149619386e-47	1.94267260940447e-46
OTUD1	2.34550551984161	4.80375438924241	1.03426349346208	9.81933823331344e-52	6.99441649206987e-51
ADGRG5	0.611356846518422	1.51038050314072	1.30482542052025	1.99520194549063e-17	2.8835549404962e-17
ST3GAL6	2.13188540914267	1.3567630042821	-0.65196115728919	2.16195173999603e-27	3.81129878270422e-27
GLI4	5.36002350266001	3.49929324471701	-0.615175757520029	1.26269742475371e-31	2.46153843688416e-31
PKP2	3.98423085036686	4.48426051705717	0.170568854176646	1.33019310301154e-08	1.6335326749186e-08
HOOK1	5.74398155470377	2.97319719763865	-0.950035963000334	1.72081470396585e-42	4.81154508378576e-42
MRM3	5.39193148459994	4.16098964430411	-0.373875466408019	6.24884762252236e-24	1.024572749002e-23
